date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-01,24.7,21.7,30,0,0,292,18.4,,1007.1,
2021-09-02,25.1,21.1,30,0,0,32,10.4,,1012.3,
2021-09-03,24.1,18.9,27.8,0,0,96,10.8,,1017.2,
2021-09-04,22.8,17.8,28.9,0,0,72,4.7,,1017.1,
2021-09-05,23.4,16.1,30,0,0,255,7.2,,1014.5,
2021-09-06,24.9,22.2,29.4,0,0,262,9.4,,1013.6,
2021-09-07,24.6,21.7,29.4,4.3,0,74,7.6,,1014.3,
2021-09-08,24.6,21.7,28.9,0,0,205,9.7,,1012.6,
2021-09-09,24.4,18.9,28.9,0,0,302,16.6,,1011.8,
2021-09-10,22.2,16.1,28.3,0,0,26,9.4,,1017.7,
2021-09-11,23.5,18.3,28.9,0,0,114,7.2,,1022.1,
2021-09-12,23.5,18.3,29.4,0,0,68,4,,1024.4,
2021-09-13,25.3,20,31.1,0,0,314,7.6,,1022,
2021-09-14,26,21.7,30.6,0,0,307,5,,1017.4,
2021-09-15,23.8,20.6,26.1,11.2,0,80,9.4,,1015.5,
2021-09-16,21.7,20.6,25,11.7,0,91,14.4,,1016.6,
2021-09-17,23,21.7,25,0,0,120,9.7,,1019.3,
2021-09-18,24.9,22.8,28.9,1.8,0,88,9.7,,1018.8,
2021-09-19,24.6,22.2,27.2,24.4,0,102,11.2,,1017.9,
2021-09-20,23,21.7,23.3,23.9,0,96,16.2,,1017.2,
2021-09-21,23.8,21.7,29.4,11.4,0,75,9.4,,1017.2,
2021-09-22,22.4,15,25,2.8,0,290,13.7,,1014.1,
2021-09-23,17.1,11.7,22.8,0,0,330,18.7,,1016.2,
2021-09-24,17.8,11.7,24.4,0,0,35,9.4,,1018.6,
2021-09-25,19.6,13.9,25.6,0,0,323,7.9,,1018.7,
2021-09-26,20.3,13.9,27.2,0,0,312,7.9,,1019.6,
2021-09-27,21.6,15.6,28.3,0,0,324,4,,1019.4,
2021-09-28,22.6,17.2,28.9,0,0,312,6.5,,1016.9,
2021-09-29,23.5,18.3,29.4,0,0,314,11.2,,1016.4,
2021-09-30,23.5,18.3,28.3,0,0,30,4.7,,1018.7,
