date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,22.7,18.3,26.1,16.5,0,208,6.1,,1011.5,
2021-08-02,21.6,13.9,27.8,0,0,352,9.7,,1016.3,
2021-08-03,21.1,15,26.7,0,0,30,5.4,,1018.9,
2021-08-04,21.7,16.1,27.8,0,0,31,7.9,,1018.9,
2021-08-05,22.4,13.9,31.1,0,0,326,6.1,,1019.6,
2021-08-06,25.5,18.3,32.2,0,0,175,11.5,,1020.5,
2021-08-07,23.1,17.8,25.6,0,0,102,5.8,,1018.2,
2021-08-08,23.5,15.6,33.9,0,0,336,6.5,,1017.6,
2021-08-09,27,20,34.4,0,0,172,8.3,,1019.1,
2021-08-10,27.8,21.7,35.6,0.5,0,183,11.5,,1018.7,
2021-08-11,26.2,21.1,37.2,1.3,0,275,6.5,,1017.5,
2021-08-12,27.8,20.6,37.8,0,0,205,10.8,,1016.7,
2021-08-13,29.4,22.8,37.2,0.5,0,245,6.5,,1017.8,
2021-08-14,26.4,21.1,33.3,0,0,346,9,,1018.8,
2021-08-15,25.1,21.1,27.8,21.6,0,41,9.4,,1021.4,
2021-08-16,24.1,21.7,28.3,15.5,0,76,6.5,,1020.5,
2021-08-17,24.8,21.1,30,14.2,0,165,7.2,,1020.2,
2021-08-18,26.5,22.8,31.7,12.7,0,169,15.1,,1017.9,
2021-08-19,27.5,22.2,32.8,0.8,0,278,8.3,,1015.9,
2021-08-20,24.6,21.7,28.9,7.9,0,15,5.8,,1013.4,
2021-08-21,25.4,20.6,31.7,0,0,26,5.4,,1012,
2021-08-22,25.2,21.1,30,0,0,353,6.8,,1012.1,
2021-08-23,27.1,20.6,34.4,0,0,271,10.8,,1011.5,
2021-08-24,28.7,22.8,33.9,0,0,313,7.9,,1015.4,
2021-08-25,27.3,20.6,34.4,17,0,321,6.1,,1018.9,
2021-08-26,26.3,22.8,33.9,0,0,340,4.3,,1019.6,
2021-08-27,26.6,21.7,33.9,15.7,0,21,5.8,,1018.7,
2021-08-28,27,22.2,32.8,0,0,359,9.4,,1021.1,
2021-08-29,24.8,22.2,27.8,0.3,0,71,6.1,,1020.9,
2021-08-30,25.6,22.2,32.8,0.3,0,270,6.1,,1013.6,
2021-08-31,25,21.1,28.9,0.5,0,337,3.2,,1010,
