date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-01,27.2,21.1,35.6,10.4,0,243,9.4,,1009.6,
2021-09-02,25.6,21.1,32.2,0,0,17,6.8,,1013,
2021-09-03,26,20.6,32.2,0,0,20,3.6,,1015.2,
2021-09-04,25.6,20,32.8,0,0,2,2.5,,1014.6,
2021-09-05,26.1,20.6,33.9,4.6,0,263,5.8,,1012.7,
2021-09-06,26.4,21.7,30.6,0,0,2,9.7,,1013.4,
2021-09-07,25.4,20,32.2,0,0,5,3.2,,1013,
2021-09-08,26.7,21.1,32.2,0,0,354,5,,1011.9,
2021-09-09,25.3,15.6,30,0,0,3,10.4,,1015,
2021-09-10,21.4,13.3,29.4,0,0,18,6.5,,1018.3,
2021-09-11,21.6,14.4,29.4,0,0,45,5.4,,1020.1,
2021-09-12,24.2,16.7,32.2,2.3,0,112,9,,1021.2,
2021-09-13,24.8,21.1,29.4,0.3,0,119,6.1,,1020.2,
2021-09-14,24.7,21.7,26.1,7.1,0,136,10.8,,1015.9,
2021-09-15,22.4,21.1,25,5.8,0,69,13.3,,1011.7,
2021-09-16,23.9,22.2,27.2,0,0,58,9,,1011.9,
2021-09-17,26,23.9,31.7,1.8,0,140,11.9,,1014.4,
2021-09-18,26.5,22.8,32.8,0,0,161,9.4,,1015.8,
2021-09-19,25.7,22.8,31.1,0,0,117,7.6,,1014.5,
2021-09-20,25.7,22.8,31.1,15.7,0,124,6.5,,1013.6,
2021-09-21,26,22.2,33.3,0,0,308,6.8,,1015.8,
2021-09-22,22.1,12.8,25.6,0.8,0,350,19.4,,1018.8,
2021-09-23,18.2,10.6,25.6,0,0,7,6.1,,1018.9,
2021-09-24,17.3,9.4,26.1,0,0,359,2.9,,1019.2,
2021-09-25,18.6,10,27.8,0,0,4,2.9,,1019.3,
2021-09-26,20.2,12.8,30,0,0,16,2.9,,1019.2,
2021-09-27,21.6,13.3,30.6,0,0,67,4.7,,1017.8,
2021-09-28,23.9,21.1,28.3,0.3,0,174,9.4,,1015,
2021-09-29,23.2,19.4,28.3,2.8,0,145,10.1,,1014.7,
2021-09-30,23.9,20.6,28.9,1.3,0,139,10.8,,1016.9,
