date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,21.5,18.3,25,1,0,168,14.8,,1012.8,
2021-08-02,22.1,16.7,27.8,0,0,313,18.4,,1013.7,
2021-08-03,22.4,18.3,26.7,0,0,37,8.6,,1019.5,
2021-08-04,21.7,18.9,24.4,0,0,74,10.1,,1020,
2021-08-05,22.2,20,27.2,0,0,7,15.8,,1018.8,
2021-08-06,23.7,19.4,28.9,0,0,202,17.3,,1020.7,
2021-08-07,24.2,20.6,28.3,0,0,199,15.5,,1018.7,
2021-08-08,21.4,18.9,23.3,14.2,0,60,16.9,,1018.4,
2021-08-09,22.4,21.1,25.6,1,0,48,13,,1020,
2021-08-10,23.6,21.1,27.2,17,0,171,14.8,,1020.4,
2021-08-11,25.3,22.8,29.4,0,0,204,15.5,,1016.7,
2021-08-12,27,23.9,31.7,0,0,212,15.5,,1015.7,
2021-08-13,28.8,25,32.8,0,0,223,15.1,,1016.6,
2021-08-14,28.4,24.4,32.8,0,0,256,16.9,,1017.4,
2021-08-15,25.1,21.1,27.8,0,0,48,13.3,,1021.9,
2021-08-16,23.2,20,27.2,0,0,97,11.2,,1022.9,
2021-08-17,24.1,21.7,27.2,0,0,156,15.5,,1022.9,
2021-08-18,24.6,22.2,28.3,0,0,140,17.6,,1022.2,
2021-08-19,26.8,25,31.1,0.8,0,217,27.4,,1013.8,
2021-08-20,26.8,23.3,28.3,0,0,301,11.5,,1012.2,
2021-08-21,24.7,21.7,27.8,54.1,0,149,10.8,,1013,
2021-08-22,23.4,22.2,24.4,57.4,0,311,19.8,,1009.7,
2021-08-23,24.2,22.2,30.6,18.5,0,220,22.3,,1008.2,
2021-08-24,27.1,21.7,32.8,0,0,260,11.5,,1013.3,
2021-08-25,26.8,21.7,31.7,0,0,221,10.4,,1018.7,
2021-08-26,27.1,23.3,31.7,0,0,212,15.1,,1019.3,
2021-08-27,28,24.4,33.9,0.8,0,245,10.8,,1018.5,
2021-08-28,23.5,18.3,26.7,22.6,0,54,19.8,,1023.3,
2021-08-29,21.1,19.4,25,0,0,76,10.1,,1022.3,
2021-08-30,23.9,22.2,28.3,0,0,209,13.3,,1012.9,
2021-08-31,26.3,22.8,30.6,0,0,305,10.8,,1008.7,
