date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-01,27.4,24.4,32.2,0,,241,8.6,,1011,
2021-09-02,27.8,24.4,33.9,0,,308,6.1,,1013,
2021-09-03,28.9,25,33.3,0,,23,7.6,,1014.8,
2021-09-04,29.4,24.4,33.9,0,,15,6.1,,1014.4,
2021-09-05,28.7,24.4,33.3,0,,268,7.2,,1013.7,
2021-09-06,27.4,25,31.1,1.8,,326,5.8,,1013.4,
2021-09-07,27.4,25,32.2,0,,53,5.8,,1012.7,
2021-09-08,27.3,25,30.6,0,,330,4,,1012.2,
2021-09-09,27.4,22.8,31.7,0,,353,12.2,,1014.3,
2021-09-10,26.9,21.7,30,0,,36,10.8,,1017.4,
2021-09-11,25.4,20,30.6,0.5,,43,10.1,,1019.3,
2021-09-12,26.2,22.8,29.4,10.7,,111,13.7,,1020.6,
2021-09-13,26.4,23.9,31.7,0.3,,94,15.1,,1019.4,
2021-09-14,25.9,22.2,27.2,47.8,,86,19.8,,1014.6,
2021-09-15,25.2,22.8,28.9,79.5,,131,14,,1008.8,
2021-09-16,27.4,25.6,31.1,0,,129,14,,1010.3,
2021-09-17,26.6,23.9,28.9,19.8,,146,13,,1014.8,
2021-09-18,25.7,23.3,29.4,25.9,,96,8.3,,1016.1,
2021-09-19,26.2,23.3,30.6,1.8,,96,8.3,,1014.4,
2021-09-20,26.4,23.9,31.7,3,,128,7.9,,1014.1,
2021-09-21,27.4,24.4,32.8,5.3,,271,5.8,,1016.4,
2021-09-22,25.3,21.7,27.2,0,,343,20.2,,1017.2,
2021-09-23,22.6,20,26.1,0,,19,14.8,,1018.1,
2021-09-24,22.2,16.7,26.1,0,,58,7.9,,1018.6,
2021-09-25,21.8,16.1,27.8,0,,12,6.1,,1018.9,
2021-09-26,22.4,16.1,28.9,0,,47,7.2,,1019.1,
2021-09-27,24.4,18.9,30.6,0,,95,10.4,,1017.7,
2021-09-28,25.9,22.8,28.3,5.1,,140,12.2,,1015.4,
2021-09-29,23.8,22.2,26.1,14,,123,9.7,,1014.4,
2021-09-30,24.6,22.2,28.3,22.9,,91,8.3,,1016.5,
