date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,22.7,18.3,26.7,3.3,0,178,8.6,,1012.1,
2021-08-02,22.7,17.2,28.9,0,0,313,12.2,,1013.7,
2021-08-03,23,16.7,27.8,0,0,14,5.4,,1019.2,
2021-08-04,23.2,20,26.7,0,0,44,7.9,,1019.6,
2021-08-05,24.1,20.6,30,0,0,3,14,,1018.5,
2021-08-06,26.2,19.4,33.3,0,0,198,11.9,,1020,
2021-08-07,27.4,21.1,32.8,0,0,200,12.2,,1017.9,
2021-08-08,24.3,20,30,4.8,0,72,14,,1018.1,
2021-08-09,24.2,21.1,29.4,0.3,0,60,13.7,,1019.9,
2021-08-10,26.1,23.3,31.1,14,0,142,7.9,,1019.6,
2021-08-11,27.5,23.3,35,31.8,0,215,14.8,,1016.2,
2021-08-12,29.1,23.9,36.7,0,0,236,15.5,,1015.2,
2021-08-13,31.5,25.6,37.2,0,0,250,10.8,,1016.2,
2021-08-14,30.4,25.6,33.3,0,0,280,15.8,,1017.3,
2021-08-15,26.1,21.7,30.6,0,0,22,13.3,,1021.6,
2021-08-16,24.6,20.6,28.3,0,0,94,10.4,,1022.3,
2021-08-17,25.4,23.9,28.3,0,0,149,12.6,,1022.2,
2021-08-18,26.3,24.4,29.4,0,0,133,12.6,,1021.5,
2021-08-19,28.1,25.6,32.2,5.8,0,225,22,,1013.3,
2021-08-20,27.1,24.4,29.4,0,0,316,10.1,,1012,
2021-08-21,26.1,22.8,28.3,32.5,0,97,7.9,,1012.6,
2021-08-22,24.3,22.8,25.6,63.8,0,293,16.9,,1009.7,
2021-08-23,25.5,22.8,32.2,23.6,0,242,19.8,,1007.4,
2021-08-24,28.6,23.9,33.9,0,0,278,13.3,,1013.1,
2021-08-25,29.3,22.8,35.6,0,0,257,7.9,,1018.3,
2021-08-26,29.8,23.9,36.1,2.8,0,213,10.4,,1018.7,
2021-08-27,29.7,25,35.6,0,0,294,6.5,,1018.2,
2021-08-28,25.4,21.1,27.8,0,0,58,17.6,,1022.9,
2021-08-29,22.7,21.1,25.6,0,0,73,7.2,,1021.9,
2021-08-30,26.2,23.3,32.8,0,0,215,10.8,,1012.3,
2021-08-31,27.7,23.3,31.7,0,0,294,9,,1008.6,
2021-09-01,24.1,18.3,26.1,213.6,0,13,23,,1006.6,
2021-09-02,21.2,17.2,26.7,0.8,0,338,24.5,,1009,
2021-09-03,20.3,15.6,25.6,0,0,313,14,,1016.5,
2021-09-04,21.8,16.1,27.8,0,0,301,9.4,,1015.9,
2021-09-05,22.2,17.8,25,0,0,214,14,,1011,
2021-09-06,24.9,21.1,30,0,0,262,16.9,,1009.3,
2021-09-07,23.9,17.2,28.9,0,0,261,10.8,,1013.9,
2021-09-08,25.2,20,30.6,0,0,187,18.4,,1010.6,
2021-09-09,23.4,21.1,25.6,3.8,0,293,9.4,,1008,
2021-09-10,21.9,17.8,25.6,0,0,310,19.8,,1012.1,
2021-09-11,21.1,13.9,27.2,0,0,235,11.9,,1020.6,
2021-09-12,23.6,18.9,30,0,0,224,21.6,,1018.4,
2021-09-13,26.9,21.1,31.1,5.1,0,270,15.5,,1016.2,
2021-09-14,24.2,20,27.2,0,0,97,8.3,,1017.4,
2021-09-15,26.6,22.2,32.8,0,0,200,15.1,,1014.4,
2021-09-16,24.8,21.7,26.7,0,0,28,15.8,,1021.2,
2021-09-17,23.6,21.7,25,0,0,34,16.9,,1022.7,
2021-09-18,25.4,21.1,31.1,0,0,343,12.6,,1017.2,
2021-09-19,23.8,17.8,26.7,0,0,0,15.5,,1020.6,
2021-09-20,20.8,15,25.6,0,0,90,10.8,,1026.5,
2021-09-21,22.2,17.2,26.7,0.8,0,97,10.4,,1026.5,
2021-09-22,25.1,23.3,28.3,0,0,147,15.5,,1018.8,
2021-09-23,25.3,18.9,27.8,31,0,153,19.4,,1013.4,
2021-09-24,20.2,15,24.4,7.1,0,286,13.3,,1016.9,
2021-09-25,20.1,14.4,26.1,0,0,18,7.6,,1015.8,
2021-09-26,20.6,17.2,24.4,0,0,272,18.7,,1012.4,
2021-09-27,21.1,14.4,28.3,0,0,225,21.2,,1013.7,
2021-09-28,21.5,16.7,24.4,4.6,0,249,15.5,,1010.5,
2021-09-29,18.2,12.8,22.2,0,0,330,16.9,,1015,
2021-09-30,18,13.9,21.1,0,0,327,16.6,,1018.9,
